Product name,Price,Constructeur,Avis
PlayStation®5 console (slim),"329
.", PlayStation,"6,774"
Microsoft Xbox Series S 512GB SSD Console - Includes Xbox Wireless Controller - Up to 120 frames per second - 10GB RAM 512GB SSD - Experience high dynamic range - Xbox Velocity Architecture,"73
.", Nintendo,765
PlayStation DualSense® Wireless Controller - Midnight Black,"159
.", Xbox,"32,634"
"Xbox Elite Series 2 Core Wireless Gaming Controller – Black – Xbox Series X|S, Xbox One, Windows PC, Android, and iOS","39
.", Turtle Beach,"43,910"
"Logitech G502 HERO High Performance Wired Gaming Mouse, HERO 25K Sensor, 25,600 DPI, RGB, Adjustable Weights, 11 Programmable Buttons, On-Board Memory, PC / Mac","38
.", PlayStation,"54,977"
Nintendo Switch™ with Neon Blue and Neon Red Joy‑Con™,"97
.",,"8,892"
"Xbox Core Wireless Gaming Controller – Velocity Green Series X|S, One, Windows PC, Android, and iOS","299
.",,"50,774"
MLB The Show 25 – PS5,"117
.",,166
"Razer BlackShark V2 X Gaming Headset: 7.1 Surround Sound - 50mm Drivers - Memory Foam Cushion - For PC, PS4, PS5, Switch - 3.5mm Audio Jack - Black","159
.",,"21,963"
"Turtle Beach Stealth 600 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, PS4, & Mobile – Bluetooth, 80-Hr Battery, Noise-Cancelling Mic – Black","59
.",,"2,498"
"SteelSeries Arctis Nova Pro Wireless Multi-System Gaming Headset - Premium Hi-Fi Drivers - Active Noise Cancellation - Infinity Power System - Stealth Retractable Mic - PC, PS5/PS4, Switch, Mobile","74
.",,"6,263"
"CORSAIR VOID RGB ELITE Wireless Gaming Headset – 7.1 Surround Sound – Omni-Directional Microphone – Microfiber Mesh Earpads – Up to 40ft Range – iCUE Compatible – PC, Mac, PS5, PS4 – Carbon",,,"23,668"
Razer Viper V3 Pro Wireless Esports Gaming Mouse: Symmetrical - 54g Lightweight - 8K Polling - 35K DPI Optical Sensor - Gen3 Optical Switches - 8 Programmable Buttons - 95 Hr Battery - Black,,,978
DualShock 4 Wireless Controller for PlayStation 4 - Jet Black,,,"138,191"
Disc Drive For PS5 Digital Edition Consoles (slim),,,"1,245"
PlayStation DualSense Wireless Controller – Galactic Purple,,,"10,076"
